iata,name,city,country,lat,lon
AAA,Anaa Airport,Anaa,PF,-17.3526,-145.51
AAC,El Arish International Airport,El Arish,EG,31.0733,33.8358
AAE,Rabah Bitat Airport,Annaba,DZ,36.8222,7.8092
AAF,Apalachicola Regional Airport,Apalachicola,US,29.7275,-85.0275
AAH,Aachen-Merzbrück Airport,Aachen,DE,50.8231,6.1864
AAK,Buariki Airport,Buariki,KI,0.1853,173.637
AAL,Aalborg Airport,Aalborg,DK,57.0928,9.8492
AAM,Malamala Airport,Malamala,ZA,-24.8181,31.5446
AAN,Al Ain International Airport,Al Ain,AE,24.2617,55.6092
AAO,Anaco Airport,Anaco,VE,9.4302,-64.4707
AAP,Andrau Airpark,Houston,US,29.7225,-95.5883
AAQ,Anapa Vityazevo Airport,Anapa,RU,45.0021,37.3473
AAR,Aarhus Airport,Aarhus,DK,56.3,10.619
AAT,Altay Air Base,Altay,CN,47.7499,88.0858
AAV,Allah Valley Airport,Surallah,PH,6.3668,124.751
AAX,Romeu Zema Airport,Araxa,BR,-19.5632,-46.9604
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,YE,16.1917,52.175
AAZ,Quezaltenango Airport,Quezaltenango,GT,14.8656,-91.502
ABA,Abakan Airport,Abakan,RU,53.74,91.385
ABB,Asaba International Airport,Asaba,NG,6.2042,6.6653
ABC,Albacete-Los Llanos Airport,Albacete,ES,38.9485,-1.8635
ABD,Abadan Airport,Abadan,IR,30.3711,48.2283
ABE,Lehigh Valley International Airport,Allentown,US,40.6521,-75.4408
ABF,Abaiang Airport,Abaiang Atoll,KI,1.7986,173.041
ABH,Alpha Airport,Alpha,AU,-23.6461,146.584
ABI,Abilene Regional Airport,Abilene,US,32.4113,-99.6819
ABJ,Port Bouet Airport,Abidjan,CI,5.2614,-3.9263
ABK,Kabri Dehar Airport,Kabri Dehar,ET,6.734,44.253
ABL,Ambler Airport,Ambler,US,67.1063,-157.857
ABM,Northern Peninsula Airport,Amberley,AU,-10.9508,142.459
ABN,Albina Airport,Albina,SR,5.5127,-54.0501
ABQ,Albuquerque International Sunport,Albuquerque,US,35.0402,-106.609
ABR,Aberdeen Regional Airport,Aberdeen,US,45.4491,-98.4218
ABS,Abu Simbel Airport,Abu Simbel,EG,22.376,31.6117
ABT,Al Baha Airport,El-baha,SA,20.2961,41.6343
ABV,Nnamdi Azikiwe International Airport,Abuja,NG,9.0068,7.2632
ABX,Albury Airport,Albury,AU,-36.0678,146.958
ABY,Southwest Georgia Regional Airport,Albany,US,31.5355,-84.1945
ABZ,Aberdeen Dyce Airport,Aberdeen,GB,57.2019,-2.1978
ACA,General Juan N Alvarez International Airport,Acapulco,MX,16.7571,-99.754
ACC,Kotoka International Airport,Accra,GH,5.6052,-0.1668
ACD,Alcides Fernández Airport,Acandi,CO,8.5167,-77.3
ACE,Lanzarote Airport,Arrecife,ES,28.9455,-13.6052
ACF,Brisbane Archerfield Airport,Brisbane,AU,-27.5703,153.008
ACH,St Gallen Altenrhein Airport,Altenrhein,CH,47.485,9.5608
ACI,Alderney Airport,Alderney,GG,49.7061,-2.2147
ACJ,Anuradhapura Air Force Base,Anuradhapura,LK,8.3015,80.4279
ACK,Nantucket Memorial Airport,Nantucket,US,41.2531,-70.0602
ACN,Ciudad Acuña New International Airport,Ciudad Acuna,MX,29.3329,-101.099
ACP,Sahand Airport,Maragheh,IR,37.348,46.1279
ACR,Araracuara Airport,Araracuara,CO,-0.5833,-72.4083
ACS,Achinsk Airport,Achinsk,RU,56.2683,90.5708
ACT,Waco Regional Airport,Waco,US,31.6113,-97.2305
ACV,California Redwood Coast-Humboldt County Airport,Arcata CA,US,40.9781,-124.109
ACX,Xingyi Airport,Xingyi,CN,25.0864,104.9594
ACY,Atlantic City International Airport,Atlantic City,US,39.4576,-74.5772
ACZ,Zabol Airport,Zabol,IR,31.0983,61.5439
ADA,Adana Airport,Adana,TR,36.9822,35.2804
ADB,Adnan Menderes International Airport,Izmir,TR,38.2924,27.157
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,8.9779,38.7993
ADE,Aden International Airport,Aden,YE,12.8295,45.0288
ADF,Adıyaman Airport,Adiyaman,TR,37.7314,38.4689
ADH,Aldan Airport,Aldan,RU,58.6028,125.409
ADI,Arandis Airport,Arandis,NA,-22.4622,14.98
ADJ,Amman-Marka International Airport,Amman,JO,31.9727,35.9916
ADK,Adak Airport,Adak Island,US,51.878,-176.646
ADL,Adelaide International Airport,Adelaide,AU,-34.945,138.531
ADM,Ardmore Municipal Airport,Ardmore,US,34.303,-97.0196
ADP,Ampara Airport,Galoya,LK,7.3378,81.6259
ADQ,Kodiak Airport,Kodiak,US,57.75,-152.494
ADS,Addison Airport,Addison,US,32.9686,-96.8364
ADT,Ada Regional Airport,Ada,US,34.8043,-96.6713
ADU,Ardabil Airport,Ardabil,IR,38.3257,48.4244
ADW,Joint Base Andrews,Camp Springs,US,38.8108,-76.867
ADX,RAF Leuchars,Leuchars,GB,56.3729,-2.8684
ADY,Alldays Airport,Alldays,ZA,-22.679,29.0555
ADZ,Gustavo Rojas Pinilla International Airport,San Andres Island,CO,12.5836,-81.7112
AEA,Abemama Atoll Airport,Abemama,KI,0.4908,173.829
AEB,Baise Youjiang Airport,Baise,CN,23.7206,106.96
AEG,Aek Godang Airport,Padang Sidempuan,ID,1.4001,99.4305
AEH,Abeche Airport,Abeche,TD,13.847,20.8443
AEI,Algeciras Heliport,Algeciras,ES,36.1289,-5.4411
AEO,Aioun el Atrouss Airport,Aioun El Atrouss,MR,16.7113,-9.6379
AEP,Jorge Newbery Airpark,Buenos Aires,AR,-34.5592,-58.4156
AER,Sochi International Airport,Sochi,RU,43.4499,39.9566
AES,Ålesund Airport,Alesund,NO,62.5625,6.1197
AET,Allakaket Airport,Allakaket,US,66.5518,-152.622
AEU,Abu Musa Island Airport,Abumusa I.,IR,25.8757,55.033
AEX,Alexandria International Airport,Alexandria,US,31.3274,-92.5498
AEY,Akureyri Airport,Akureyri,IS,65.66,-18.0727
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.5883,-68.4039
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,-9.8664,-56.105
AFS,Sugraly Airport,Zarafshan,UZ,41.6139,64.2332
AFT,Afutara Aerodrome,Afutara,SB,-9.1914,160.9486
AFW,Fort Worth Alliance Airport,Fort Worth,US,32.9876,-97.3188
AFY,Afyon Airport,Afyon,TR,38.7264,30.6011
AFZ,Sabzevar National Airport,Sabzevar,IR,36.1681,57.5952
AGA,Al Massira Airport,Agadir,MA,30.325,-9.4131
AGB,Augsburg Airport,Augsburg,DE,48.4253,10.9317
AGC,Allegheny County Airport,Pittsburgh,US,40.3544,-79.9302
AGE,Wangerooge Airport,Wangerooge,DE,53.7828,7.9139
AGF,Agen-La Garenne Airport,Agen,FR,44.1747,0.5906
AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,56.2961,12.8471
AGI,Wageningen Airstrip,Wageningen,SR,5.8411,-56.6733
AGJ,Aguni Airport,Aguni,JP,26.5925,127.241
AGN,Angoon Seaplane Base,Angoon,US,57.5036,-134.585
AGP,Málaga Airport,Malaga,ES,36.6749,-4.4991
AGQ,Agrinion Air Base,Agrinion,GR,38.602,21.3512
AGR,Agra Airport,Agra,IN,27.1558,77.9609
AGS,Augusta Regional At Bush Field,Bush Field,US,33.3699,-81.9645
AGT,Guarani International Airport,Ciudad del Este,PY,-25.4545,-54.8427
AGU,Jesús Terán Paredo International Airport,Aguascalientes,MX,21.7056,-102.318
AGV,Oswaldo Guevara Mujica Airport,Acarigua,VE,9.5534,-69.2379
AGX,Agatti Airport,Agatti Island,IN,10.8237,72.176
AGZ,Aggeneys Airport,Aggeneys,ZA,-29.2818,18.8139
AHB,Abha Regional Airport,Abha,SA,18.2404,42.6566
AHE,Ahe Airport,Ahe,PF,-14.4281,-146.257
AHJ,Hongyuan Airport,Ngawa,CN,32.5315,102.3522
AHN,Athens Ben Epps Airport,Athens,US,33.9486,-83.3263
AHO,Alghero-Fertilia Airport,Alghero,IT,40.6321,8.2908
AHS,Ahuas Airport,Ahuas,HN,15.4722,-84.3522
AHU,Cherif Al Idrissi Airport,Al Hociema,MA,35.1771,-3.8395
AIA,Alliance Municipal Airport,Alliance,US,42.0532,-102.804
AID,Anderson Municipal Darlington Field,ANDERSON,US,40.1086,-85.613
AIK,Aiken Regional Airport,Aiken,US,33.6494,-81.685
AIN,Wainwright Airport,Wainwright,US,70.638,-159.995
AIP,Adampur Airport,Adampur,IN,31.4338,75.7588
AIR,Aripuanã Airport,Aripuana,BR,-10.1883,-59.4573
AIS,Arorae Island Airport,Arorae,KI,-2.6161,176.803
AIT,Aitutaki Airport,Aitutaki,CK,-18.8309,-159.764
AIU,Enua Airport,Atiu Island,CK,-19.9678,-158.119
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,US,38.096,-92.5495
AJA,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,FR,41.9236,8.8029
AJF,Al-Jawf Domestic Airport,Al-Jawf,SA,29.7851,40.1
AJI,Ağrı Airport,Agri,TR,39.6545,43.026
AJK,Arak Airport,Arak,IR,34.1381,49.8473
AJL,Lengpui Airport,Aizwal,IN,23.8406,92.6197
AJN,Ouani Airport,Anjouan,KM,-12.1317,44.4303
AJR,Arvidsjaur Airport,Arvidsjaur,SE,65.5903,19.2819
AJU,Santa Maria Airport,Aracaju,BR,-10.984,-37.0703
AJY,Mano Dayak International Airport,Agadez,NE,16.966,8.0001
AKA,Ankang Wulipu Airport,Ankang,CN,32.7081,108.931
AKB,Atka Airport,Atka,US,52.2203,-174.206
AKC,Akron Fulton International Airport,Akron,US,41.0375,-81.4669
AKD,Akola Airport,Akola,IN,20.699,77.0586
AKF,Kufra Airport,Kufra,LY,24.1787,23.314
AKH,Prince Sultan Air Base,Al Kharj,SA,24.0627,47.5805
AKI,Akiak Airport,Akiak,US,60.9029,-161.231
AKJ,Asahikawa Airport,Asahikawa,JP,43.6708,142.447
AKK,Akhiok Airport,Akhiok,US,56.9387,-154.183
AKL,Auckland International Airport,Auckland,NZ,-37.0081,174.792
AKN,King Salmon Airport,King Salmon,US,58.6768,-156.649
AKO,Colorado Plains Regional Airport,Akron,US,40.1756,-103.222
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,68.1336,-151.743
AKR,Akure Airport,Akure,NG,7.2467,5.301
AKS,Gwaunaru'u Airport,Auki,SB,-8.7026,160.682
AKT,RAF Akrotiri,Akrotiri,CY,34.5904,32.9879
AKU,Aksu Airport,Aksu,CN,41.2625,80.2917
AKV,Akulivik Airport,Akulivik,CA,60.8186,-78.1486
AKW,Aghajari Airport,Aghajari,IR,30.7444,49.6772
AKX,Aktobe Airport,Aktyubinsk,KZ,50.2458,57.2067
AKY,Sittwe Airport,Sittwe,MM,20.1327,92.8726
ALA,Almaty Airport,Alma-ata,KZ,43.3521,77.0405
ALB,Albany International Airport,Albany,US,42.7483,-73.8017
ALC,Alicante International Airport,Alicante,ES,38.2822,-0.5582
ALE,Alpine Casparis Municipal Airport,Alpine,US,30.3842,-103.684
ALF,Alta Airport,Alta,NO,69.9761,23.3717
ALG,Houari Boumediene Airport,Algier,DZ,36.691,3.2154
ALH,Albany Airport,Albany,AU,-34.9433,117.809
ALI,Alice International Airport,Alice,US,27.7409,-98.0269
ALJ,Alexander Bay Airport,Alexander Bay,ZA,-28.575,16.5333
ALL,Villanova D'Albenga International Airport,Albenga,IT,44.0506,8.1274
ALM,Alamogordo White Sands Regional Airport,Alamogordo,US,32.8399,-105.991
ALN,St Louis Regional Airport,Alton/St Louis,US,38.8903,-90.046
ALO,Waterloo Regional Airport,Waterloo,US,42.5571,-92.4003
ALP,Aleppo International Airport,Aleppo,SY,36.1807,37.2244
ALR,Alexandra Airport,Alexandra,NZ,-45.2117,169.373
ALS,San Luis Valley Regional Bergman Field,Alamosa,US,37.4349,-105.867
ALU,Alula Airport,Alula,SO,11.9582,50.748
ALW,Walla Walla Regional Airport,Walla Walla,US,46.0949,-118.288
